List1_Name,List2_Name,combined similarity,jw_similarity,token_similarity
TPO Agency,TPO Agency,1.0,1.0,1.0
Bluecrux,Bluu,0.7766666666666667,0.8833333333333334,0.67
Bluecrux,Bluecrux,1.0,1.0,1.0
Biztory,Biztory,1.0,1.0,1.0
IMPACT,ePact,0.7761111111111112,0.8222222222222223,0.73
IMPACT,IMPACT,1.0,1.0,1.0
IMPACT,IMEC,0.7,0.8,0.6
IMPACT,Impact Sales & Marketing Belux,0.619,0.8480000000000001,0.39
Ici Paris XL,Ici Paris XL,1.0,1.0,1.0
Sea Tank Terminal,Sea Tank Terminal,1.0,1.0,1.0
Dego Verzekeringen,P & V Verzekeringen,0.7666390145801911,0.7232780291603821,0.81
Axilium,Axilium,1.0,1.0,1.0
Axilium,AXA Belgium,0.7826190476190477,0.8552380952380954,0.71
Axilium,AXI,0.7333333333333334,0.8666666666666668,0.6
Credon,Kreon,0.7761111111111112,0.8222222222222223,0.73
Credon,Credon,1.0,1.0,1.0
Credon,Creadomus,0.7637037037037038,0.8574074074074074,0.67
Credon,Credix,0.7683333333333333,0.8666666666666666,0.67
Brussels Airport Company,Brussels Airport Company,1.0,1.0,1.0
Monin-it,Mondelez International,0.615,0.8,0.43
Monin-it,Monin-it,1.0,1.0,1.0
Novartis,Novartis,1.0,1.0,1.0
Novartis,Biocartis,0.7577777777777777,0.8055555555555555,0.71
SD Worx,SD Worx,1.0,1.0,1.0
Grand Vision Belgium,Grand Vision Belgium,1.0,1.0,1.0
Grand Vision Belgium,Grand Opticiens Belgium,0.8236321195144725,0.9272642390289448,0.72
iBanFirst,iBanFirst,1.0,1.0,1.0
Smulders,Smulders,1.0,1.0,1.0
Smulders,Smals,0.7166666666666666,0.8133333333333332,0.62
Azelis,Azelis,1.0,1.0,1.0
Unit-T,Unit-T,1.0,1.0,1.0
Unit-T,Universiteit Antwerpen,0.6011111111111112,0.8222222222222222,0.38
Unit-T,Unizo,0.7066666666666667,0.8133333333333334,0.6
AZ Herentals,AZ Herentals,1.0,1.0,1.0
Vanlanschot,Van Lanschot,1.0,1.0,1.0
Vanlanschot,VAN IN,0.6524242424242424,0.8048484848484848,0.5
Manuchar,Manuchar,1.0,1.0,1.0
Digipolitans,Digipolitans,1.0,1.0,1.0
Digipolitans,Digipolis,0.905,0.95,0.86
Digipolitans,digi,0.6833333333333333,0.8666666666666666,0.5
Advipro,Advipro,1.0,1.0,1.0
Recruitment Architects,RecruitrLAB,0.6635642135642136,0.8271284271284272,0.5
Recruitment Architects,Recruitment Architects,1.0,1.0,1.0
Aertssen,Aertssen,1.0,1.0,1.0
Option Media,Optimile,0.7518506493506494,0.8737012987012986,0.63
Option Media,Option Media,1.0,1.0,1.0
HH Global,G4S Global,0.7577777777777777,0.8055555555555555,0.71
HH Global,HH Global,1.0,1.0,1.0
Xylos,Xylos NV,0.8864285714285713,0.9428571428571428,0.83
Antenno,Antenno,1.0,1.0,1.0
Antenno,Anthony Cranes,0.6010683760683762,0.8021367521367522,0.4
Antenno,Antea Group,0.7164285714285714,0.8428571428571429,0.59
Hansea,Hansea,1.0,1.0,1.0
Hansea,Hansen Industrial Transmissions,0.5906896551724138,0.8413793103448276,0.34
Multi Engineering,Multi Engineering,1.0,1.0,1.0
iCredit bv,iCredit,0.9177777777777778,0.9555555555555556,0.88
Cargill NV,Carglass,0.7130555555555556,0.836111111111111,0.59
Cargill NV,Agiliz NV,0.7577777777777777,0.8055555555555555,0.71
What's Cooking Group NV,Whatscooking,0.8481578947368421,0.9263157894736842,0.77
Digi / Citymesh,Digipolitans,0.7066666666666667,0.8333333333333334,0.58
Digi / Citymesh,Digipolis,0.7016666666666667,0.8333333333333334,0.57
Digi / Citymesh,digi,0.6833333333333333,0.8666666666666666,0.5
Unmute-you,Unmute- You,1.0,1.0,1.0
Van Laere,Van Hoecke,0.6993981481481482,0.8087962962962962,0.59
Van Laere,Van Laere,1.0,1.0,1.0
Van Laere,Van den Broele,0.6625,0.825,0.5
I.C.T.S Europe,I.C.T.S. Europe,1.0,1.0,1.0
